date,clock,stadium,class,attendance,links,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
19/12/2020,3:00pm,St. Mary's Stadium,a,0,https://www.skysports.com/football/southampton-vs-manchester-city/stats/428974,-1.8821864378181887,-1.4593685068689315,0.9572755135986866,-0.5976699577580258,-0.4233480905459748,-0.14508842293185406,-0.4180084732808893,0.7470050689193941,-0.6778647809752485,-0.31528996484983335,-0.8572360500288558,-0.8352084544596403,-0.6518877484603824,-0.36594033594612657,0.622026222487083,0.9627506314961196,0.7872955143143082,0.07355759327069514,-0.1548538102293166,-0.47218492942938717,-0.8114020704082562,0.31807037273424604,-0.4726422453473328,-0.20676032550590867
19/12/2020,12:30pm,Selhurst Park,a,0,https://www.skysports.com/football/crystal-palace-vs-liverpool/stats/428970,-3.515803288539392,1.399627328863686,1.057114364464746,1.6033057704987541,-3.59439667547856,1.2496040933751444,0.2544939935506461,4.08314372781343,0.009654588399375033,1.463322949037641,-0.6649100790134406,1.1361713141612872,2.175896192940627,-1.6518658964609731,1.7471871340593896,0.26256961076464186,-0.6566093280699354,-0.5179669362393553,0.9313132663296659,1.098147608352831,0.6640507360279776,-0.7615640656244503,-0.17214552769914493,1.061665405242449
17/12/2020,8:00pm,Bramall Lane,a,0,https://www.skysports.com/football/sheffield-united-vs-manchester-united/stats/428962,-1.9842483246422673,0.47460099657159405,0.794302122492242,0.3121610452588404,1.2437152208506814,1.2742831291637398,-0.6686658349818232,2.3689584080450605,0.9534142189114279,-0.4446994504928564,0.015495371456430101,0.25152889810414586,0.36396050498932736,1.2865296404623332,-0.5358482819148375,0.1674375965602781,1.1630987291262904,0.4071392105286264,-1.0753205415271538,-0.31128060461978424,-1.122602006595863,-0.39603747787597926,1.3255274144588525,-0.9860831733188173
17/12/2020,6:00pm,Villa Park,d,0,https://www.skysports.com/football/aston-villa-vs-burnley/stats/428958,4.392175350049069,-0.39351611331602687,1.5232241399311237,1.1321661325586487,2.834888750560683,-1.5260565927225604,0.6720003948896698,0.8426944756275826,0.4916547651757852,0.581470163766864,0.46101320590194717,0.021525761430075032,-2.2141727812531595,0.9867507475320192,-1.539575624284191,0.9002496734016919,0.7099570859604223,0.38918816526568517,2.3046568342460154,1.1254571814799506,0.7404576547965704,-0.30249562405929437,0.24012198048996503,0.08991053717298045
16/12/2020,8:00pm,Anfield,h,0,https://www.skysports.com/football/liverpool-vs-tottenham-hotspur/stats/428965,3.892207340332413,1.225697430725503,0.6081011575286781,-0.20083699877954067,-0.23181746921933158,-0.25404353226259124,0.07012830832747063,0.5745846651947464,-0.9158631865837631,-0.04608679027073453,-1.6768555917153076,1.4345652814030962,1.6562456911504568,-2.2687000623190787,0.18927802852338566,0.010014999950160865,1.765547535110333,0.9186600110256602,1.3954440631818688,-1.447436019750411,-0.6828956708167252,0.9674606784502663,-1.467486564270003,0.04256828508075411
16/12/2020,8:00pm,Craven Cottage,d,0,https://www.skysports.com/football/fulham-vs-brighton-and-hove-albion/stats/428959,-1.2346373221889992,-0.46691840971283805,-0.23524310381048533,-0.7872317992345899,0.08540120053339025,0.6432527256943675,0.04954394520327042,0.49585353100221724,-0.7901045095645874,-0.17521579094311068,-1.5688517223109084,0.9268205860753098,-0.4452562461220917,0.7219753811847924,-2.5001403713298775,0.03728816160312648,0.8119072226396157,0.13453024556342258,0.1633297645396765,0.1988151114925757,0.32523892232208373,1.252844246435759,-0.8564429099027647,0.3832305571849355
16/12/2020,8:00pm,London Stadium,d,0,https://www.skysports.com/football/west-ham-united-vs-crystal-palace/stats/428963,0.2283476305886836,-1.9095434499282629,-0.5305859537196898,0.44442163958328557,-1.8754399302171676,-0.1598451930276146,0.12947447776918344,-1.568704770227147,3.293983040157957,0.6999822415688426,-1.4369891872009863,1.6365243987199565,0.605219638081301,0.8605352979855734,2.127618438607367,0.8001512069453818,-1.0836294180868815,1.6940247307472622,0.49590560831767455,0.5349006302909898,0.06998891324119452,0.12193175227488547,0.1820710072224302,0.2435597925363932
16/12/2020,6:00pm,The King Power Stadium,a,0,https://www.skysports.com/football/leicester-city-vs-everton/stats/428961,0.008530815828076316,-1.3005563132961873,1.902750794580692,0.5318703726392979,0.18180836806213602,-0.48487211002738595,0.5423494857159551,-0.4755937899314011,-0.12342001116692265,-0.6804366138406447,-0.021489010896506344,-0.7883532076853542,-0.47033336705658446,0.34074325144081447,0.14131163417445236,0.2810689094182967,0.6246487229799718,-1.7787332351757665,-0.4076811841970005,-0.48110546735354115,0.15370655327594637,0.8724381169037644,0.4164169132664596,-0.7000949598804335
16/12/2020,6:00pm,Elland Road,h,0,https://www.skysports.com/football/leeds-united-vs-newcastle-united/stats/428960,3.206679359549854,1.6837634901384868,1.502829205390705,-0.6391121086143756,1.2204483040664424,0.336092652471449,0.021349448264869817,1.6540449429640094,-1.8491308895484315,-0.6298506875844991,-1.0802541101471033,0.4207746937389671,0.21119900826756174,-0.01871878590174888,0.16289791011745464,-0.6012486493539995,-1.0997393697751152,-0.5743332455697773,-0.4744183239894528,0.9440791096012069,-1.033652484519646,0.6962930558073405,-1.2899817640826288,-2.042646152559646
16/12/2020,6:00pm,Emirates Stadium,d,0,https://www.skysports.com/football/arsenal-vs-southampton/stats/428957,-1.7897137590331724,0.39454031204694895,-2.0450181285030604,1.2598693315889005,0.8057787309204926,1.0746887663017082,-0.22670026684538552,-1.5351628348333421,0.5024997319722377,2.323789257135907,2.556239784031777,2.1267792752955508,0.991581408878936,-1.3566168111958872,-0.883337842597716,1.548354045859583,0.18248030670346482,0.4815063417540334,1.1140126456264445,-0.9229003464282501,0.4907797827458287,0.5289777049366106,-0.5538405511727195,0.7275825180456911
