vp(m/s),vs(m/s),ro(g/cc)
4409.58,2398.39,2.58
4409.58,2398.39,2.57
4409.58,2398.39,2.57
4409.58,2398.39,2.57
4409.58,2393.82,2.57
4255.68,2392.91,2.57
4252.82,2382.77,2.57
4182.98,2363.12,2.57
4182.74,2268.60,2.57
4182.74,2268.60,2.57
4182.74,2268.60,2.57
4182.74,2268.60,2.57
4182.74,2268.60,2.57
4181.95,2261.07,2.57
4159.55,2216.50,2.57
4087.92,2214.85,2.57
4087.92,2198.74,2.57
4127.29,2198.74,2.56
4159.55,2198.74,2.56
4181.95,2203.18,2.56
4182.98,2203.18,2.55
4181.95,2190.58,2.55
4159.55,2185.05,2.54
4127.29,2181.24,2.54
4090.82,2178.92,2.54
4087.92,2171.42,2.53
4053.65,2165.05,2.53
4032.27,2149.18,2.53
3999.81,2144.44,2.52
3969.66,2144.20,2.52
3969.66,2144.20,2.52
3969.66,2144.20,2.52
3969.66,2144.20,2.52
3969.66,2144.20,2.52
3999.81,2144.44,2.52
4032.27,2149.18,2.53
4053.65,2165.05,2.53
4087.92,2171.42,2.53
4090.82,2178.92,2.53
4127.29,2181.24,2.53
4127.29,2185.05,2.53
4127.29,2190.58,2.53
4131.84,2203.18,2.53
4145.84,2214.85,2.54
4159.55,2216.50,2.54
4159.55,2220.04,2.54
4159.55,2220.04,2.54
4159.55,2220.04,2.54
4159.55,2220.04,2.54
4159.55,2220.04,2.54
4159.55,2220.04,2.54
4181.95,2220.04,2.54
4181.95,2220.04,2.54
4181.95,2220.04,2.53
4181.95,2220.04,2.53
4181.95,2220.04,2.53
4181.95,2220.04,2.53
4181.95,2220.04,2.53
4181.95,2220.04,2.53
4145.84,2220.04,2.53
4145.84,2220.04,2.53
4145.84,2220.04,2.53
4145.84,2220.04,2.53
4145.84,2220.04,2.53
4204.08,2226.68,2.53
4230.23,2249.06,2.53
4230.23,2249.06,2.53
4230.23,2249.06,2.53
4230.23,2249.06,2.53
4230.23,2263.24,2.54
4230.23,2266.73,2.54
4245.50,2266.88,2.54
4245.50,2266.88,2.55
4245.50,2266.88,2.55
4245.50,2266.88,2.55
4245.50,2266.88,2.55
4245.50,2266.88,2.55
4245.50,2266.88,2.55
4245.50,2303.75,2.55
4245.50,2303.75,2.55
4245.50,2303.75,2.55
4245.50,2303.75,2.55
4244.47,2290.22,2.55
4239.38,2266.88,2.55
4230.23,2266.73,2.55
4223.28,2263.24,2.55
4223.28,2259.68,2.55
4223.28,2259.68,2.55
4223.28,2259.68,2.54
4223.28,2259.68,2.54
4223.28,2259.68,2.55
4239.38,2263.24,2.55
4244.47,2263.24,2.55
4245.50,2290.22,2.55
4245.50,2290.22,2.55
4245.50,2290.22,2.55
4245.50,2290.22,2.55
4245.50,2290.22,2.55
4245.50,2290.22,2.55
4245.50,2290.22,2.55
4245.50,2290.22,2.55
4245.50,2290.22,2.55
4245.50,2290.22,2.55
4281.75,2303.75,2.55
4283.92,2303.76,2.55
4285.70,2317.40,2.56
4326.36,2327.52,2.56
4326.36,2348.70,2.56
4326.36,2366.58,2.56
4331.79,2372.98,2.56
4333.15,2389.80,2.56
4334.87,2390.69,2.57
4334.87,2395.78,2.57
4334.87,2395.78,2.57
4334.87,2395.78,2.57
4334.87,2401.32,2.57
4349.97,2402.25,2.57
4387.31,2403.69,2.57
4388.07,2409.21,2.58
4425.71,2430.76,2.58
4435.53,2436.14,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4435.53,2443.45,2.59
4472.82,2443.45,2.59
4487.61,2476.08,2.59
4494.85,2478.01,2.60
4543.90,2478.50,2.60
4558.34,2492.68,2.60
4561.14,2511.18,2.60
4561.14,2518.20,2.60
4561.14,2518.20,2.59
4558.34,2518.20,2.59
4515.53,2511.18,2.59
4494.85,2492.68,2.59
4494.85,2492.68,2.59
4494.85,2492.68,2.59
4494.85,2492.68,2.59
4494.85,2492.68,2.59
4487.61,2476.08,2.59
4472.82,2443.45,2.59
4400.23,2440.42,2.59
4388.07,2436.14,2.59
4388.07,2427.21,2.59
4388.07,2427.21,2.58
4388.07,2427.21,2.58
4388.07,2427.21,2.58
4400.23,2427.21,2.58
4421.03,2427.21,2.58
4421.03,2427.21,2.58
4421.03,2427.21,2.58
4400.23,2415.05,2.58
4400.23,2415.05,2.58
4400.23,2415.05,2.58
4400.23,2415.05,2.58
4400.23,2415.05,2.58
4400.23,2414.21,2.58
4337.59,2403.63,2.58
4295.69,2366.17,2.58
4294.73,2355.28,2.58
4282.83,2353.85,2.58
4276.55,2343.00,2.58
4266.25,2319.25,2.58
4266.25,2310.01,2.58
4266.25,2310.01,2.58
4266.25,2310.01,2.58
4266.25,2310.01,2.58
4266.25,2310.01,2.58
4266.25,2310.01,2.58
4266.25,2310.01,2.58
4276.55,2319.25,2.58
4282.83,2343.00,2.58
4294.73,2353.85,2.58
4295.69,2355.28,2.58
4400.23,2366.17,2.58
4400.23,2366.17,2.58
4400.23,2366.17,2.58
4400.23,2366.17,2.58
4400.23,2366.17,2.58
4307.98,2355.28,2.58
4295.69,2353.85,2.57
4282.83,2343.00,2.57
4276.55,2319.25,2.57
4266.25,2310.01,2.56
4258.94,2303.18,2.56
4241.73,2299.66,2.56
4241.73,2299.66,2.56
4241.73,2299.66,2.56
4241.73,2299.66,2.55
4241.73,2299.66,2.55
4241.73,2299.66,2.55
4251.50,2303.18,2.55
4258.94,2310.01,2.55
4266.25,2310.01,2.55
4266.25,2310.01,2.56
4266.25,2310.01,2.56
4266.25,2310.01,2.56
4266.25,2310.01,2.56
4266.25,2310.01,2.56
4266.25,2310.01,2.56
4266.25,2353.85,2.56
4282.83,2355.28,2.57
4307.98,2414.21,2.57
4307.98,2414.21,2.57
4307.98,2414.21,2.57
4307.98,2414.21,2.57
4307.98,2414.21,2.57
4307.98,2447.33,2.57
4327.63,2463.82,2.57
